School,County,District,School Address,Phone Number,Administrator,School Type,Low Grade,High Grade,Public School,Charter,Magnet,Year Round
Park Elementary,Alameda,Hayward Unified,"411 Larchmont St. Hayward, CA 94540-1103",(510) 293-8515,"Lori Oldham, (510) 723-3875, loldham@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,Yes
Ruus Elementary,Alameda,Hayward Unified,"28027 Dickens Ave. Hayward, CA 94540-5639",(510) 723-3885,"Soledad Padilla, spadilla@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Schafer Park Elementary,Alameda,Hayward Unified,"PO Box 5000 Hayward, CA 94540-5000",(510) 723-3895,"Rafael Flores, (510) 723-3895, flores@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Southgate Elementary,Alameda,Hayward Unified,"26601 Calaroga Ave. Hayward, CA 94545-3121",(510) 723-3905,"Brian McComb, (510) 723-3905, bmccomb@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Stonebrae Elementary,Alameda,Hayward Unified,"24411 Amador St. Hayward, CA 94540",(510) 723-3910,"Ms. Lauren Matteis, (510) 723-3910, lmatteis@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Strobridge Elementary,Alameda,Hayward Unified,"PO Box 5000 Hayward, CA 94540-5000",(510) 723-3915,"DiShawn Givens, (510) 723-3915, dgivens@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Tennyson High,Alameda,Hayward Unified,"27035 Whitman Rd. Hayward, CA 94544-4099",(510) 723-3190,"Ms. Veronica Estrada, (510) 723-3190, vestrada@husd.k12.ca.us",High Schools (Public),9,12,Yes,No,No,No
Treeview Elementary,Alameda,Hayward Unified,"30565 Treeview St. Hayward, CA 94544-7458",(510) 723-3925,"Mr. Guillermo Morales, (510) 723-3925, gm238@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Tyrrell Elementary,Alameda,Hayward Unified,"27000 Tyrrell Ave. Hayward, CA 94540-0001",(510) 723-3935,"Stacy Vidal-Butler, (510) 723-3935, svidal@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Winton Middle,Alameda,Hayward Unified,"PO Box 5000 Hayward, CA 94540-5000",(510) 723-3140,"Lisa Tess, (510) 723-3140, ltess@husd.k12.ca.us",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Altamont Creek Elementary,Alameda,Livermore Valley Joint Unified,"6500 Garaventa Ranch Rd. Livermore, CA 94551-8701",(925) 454-5575,"Mrs. Tara Aderman, (925) 454-5575 Ext. 6875, taderman@lvjusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Andrew N. Christensen Middle,Alameda,Livermore Valley Joint Unified,"5757 Haggin Oaks Ave. Livermore, CA 94551-1100",(925) 606-4702,"Mrs. Pat Avilla, (925) 606-4702 Ext. 6574, pavilla@lvjusd.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Arroyo Seco Elementary,Alameda,Livermore Valley Joint Unified,"5280 Irene Way Livermore, CA 94550-3508",(925) 606-4700,"Mrs. Gatee Esmat, (925) 606-4700 Ext. 6474, gesmat@lvjusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
East Avenue Middle,Alameda,Livermore Valley Joint Unified,"3951 East Ave. Livermore, CA 94550-4830",(925) 606-4711,"Mr. Jesse Hansen, (925) 606-4711 Ext. 6174, jhansen@lvjusd.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Emma C. Smith Elementary,Alameda,Livermore Valley Joint Unified,"391 Ontario Dr. Livermore, CA 94550-5249",(925) 606-4750,"Mr. Joe Meunier, (925) 606-4750 Ext. 6775, jmeunier@lvjusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Granada High,Alameda,Livermore Valley Joint Unified,"400 Wall St. Livermore, CA 94550-4066",(925) 606-4800,"Mr. Matt Hart, (925) 606-3512, mhart@lvjusd.org",High Schools (Public),9,12,Yes,No,No,No
Jackson Avenue Elementary,Alameda,Livermore Valley Joint Unified,"554 Jackson Ave. Livermore, CA 94550-3434",(925) 606-4717,"Mrs. Shari Johnston, (925) 606-4717 Ext. 3828, sjohnston@lvjusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Joe Michell,Alameda,Livermore Valley Joint Unified,"1001 Elaine Ave. Livermore, CA 94550-5414",(925) 606-4738,"Mrs. Laura Lembo, (925) 606-4738 Ext. 6974, llembo@lvjusd.org",Elementary Schools (Public),K,8,Yes,No,No,No
Junction K-8,Alameda,Livermore Valley Joint Unified,"298 Junction Ave. Livermore, CA 94551-5903",(925) 606-4720,"Mrs. Jeannette Garza, Vice, (925) 580-2018, mgjgarza@comcast.net",Elementary Schools (Public),K,8,Yes,No,No,No
Lawrence Elementary,Alameda,Livermore Valley Joint Unified,"2451 Portola Ave. Livermore, CA 94551-1756",(925) 960-2923,"Kristie Starkovich, (925) 960-2923 Ext. 7274, kstarkovich@lvjusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Leo R. Croce Elementary,Alameda,Livermore Valley Joint Unified,"5650 Scenic Ave. Livermore, CA 94551-1224",(925) 606-4706,"Marni Angelo, (925) 606-4706, mangelo@lvjusd.org",Elementary Schools (Public),P,5,Yes,No,No,No
Livermore High,Alameda,Livermore Valley Joint Unified,"600 Maple St. Livermore, CA 94550-3298",(925) 606-4812,"Mrs. Helen Gladden, (925) 606-4812 Ext. 2317, hgladden@lvjusd.org",High Schools (Public),9,12,Yes,No,No,No
Marylin Avenue Elementary,Alameda,Livermore Valley Joint Unified,"800 Marylin Ave. Livermore, CA 94551-6514",(925) 606-4724,"Mrs. Denise Nathanson, (925) 606-4724 Ext. 7475, dnathanson@lvjusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Rancho Las Positas Elementary,Alameda,Livermore Valley Joint Unified,"401 East Jack London Blvd. Livermore, CA 94551-1853",(925) 606-4748,"Mr. Steve Martin, (925) 606-4748, stevemartin@lvjusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Sunset Elementary,Alameda,Livermore Valley Joint Unified,"1671 Frankfurt Way Livermore, CA 94550-6146",(925) 606-5230,"Mr. Tom Jones, (925) 606-5230 Ext. 3761, tomjones@lvjusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
William Mendenhall Middle,Alameda,Livermore Valley Joint Unified,"1701 El Padro Dr. Livermore, CA 94550-6215",(925) 606-4731,"Mrs. Tammy Rankin, (925) 606-7374, trankin@lvjusd.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Mountain House Elementary,Alameda,Mountain House Elementary,"3950 Mountain House Rd. Byron, CA 94514-1920",(209) 835-2283,"Mr. Daniel Nelson, Board President, (209) 835-2283, dnelson@mtnhouse.k12.ca.us",Elemen Schools In 1 School Dist. (Public),K,8,Yes,No,No,No
Alvarado Elementary,Alameda,New Haven Unified,"31100 Fredi St. Union City, CA 94587-2662",(510) 471-1039,"Eric Barron, ebarron@nhusd.k12.ca.us",Elementary Schools (Public),K,5,Yes,No,No,No
Cesar Chavez Middle,Alameda,New Haven Unified,"2801 Hop Ranch Rd. Union City, CA 94587-5708",(510) 487-1700 Ext. 62600,"Ramon Camacho, (510) 487-1700 Ext. 62600, rcamacho@nhusd.k12.ca.us",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Delaine Eastin Elementary,Alameda,New Haven Unified,"34901 Eastin Dr. Union City, CA 94587-5577",(510) 475-9630,"Mary Rodriguez, (510) 471-1100 Ext. 62647, mrodriguez@nhusd.k12.ca.us",Elementary Schools (Public),K,5,Yes,No,No,No
Guy Jr. Emanuele Elementary,Alameda,New Haven Unified,"600 G St. Union City, CA 94587",(510) 471-2461,"Clinton Puckett, cpuckett@nhusd.k12.ca.us",Elementary Schools (Public),K,5,Yes,No,No,No
Hillview Crest Elementary,Alameda,New Haven Unified,"31410 Wheelon Ave. Hayward, CA 94544-7662",(510) 471-5720,"Jessica Lange Brar, (510) 471-5720 Ext. 62652, jlange@nhusd.k12.ca.us",Elementary Schools (Public),K,5,Yes,No,No,No
Itliong-Vera Cruz,Alameda,New Haven Unified,"31604 Alvarado Blvd. Union City, CA 94587-5802",(510) 489-0700,"Heather Thorner, (510) 489-0700 Ext. 62629, hthorner@nhusd.k12.ca.us",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
James Logan High,Alameda,New Haven Unified,"1800 H St. Union City, CA 94587-3321",(510) 471-2520,"Ron Polk, (510) 471-2520 Ext. 62708, rpolk@nhusd.k12.ca.us",High Schools (Public),9,12,Yes,No,No,No
Pioneer Elementary,Alameda,New Haven Unified,"32737 Bel Aire St. Union City, CA 94587-5500",(510) 487-4530 Ext. 62657,"Jeannette Alday, (510) 487-4530 Ext. 62657, jalday@nhusd.k12.ca.us",Elementary Schools (Public),K,5,Yes,No,No,No
Searles Elementary,Alameda,New Haven Unified,"33629 15th St. Union City, CA 94587-3322",(510) 471-2772,"Raquel Bocage, (510) 471-2772 Ext. 62658, rbocage@nhusd.k12.ca.us",Elementary Schools (Public),K,5,Yes,No,No,No
Tom Kitayama Elementary,Alameda,New Haven Unified,"1959 Sunsprite Dr. Union City, CA 94587-1995",(510) 475-3982,"Dung Kim Nguyen, (510) 475-3982 Ext. 62655, dknguyen@nhusd.k12.ca.us",Elementary Schools (Public),K,5,Yes,No,No,No
August Schilling Elementary,Alameda,Newark Unified,"36901 Spruce St. Newark, CA 94560-2719",(510) 818-3800,"Dr. Wendy Castaneda-Leal, (510) 818-3801, wcastanedaleal@newarkunified.org",Elementary Schools (Public),K,6,Yes,No,No,No
Birch Grove Intermediate,Alameda,Newark Unified,"37490 Birch St. Newark, CA 94560-4140",(510) 818-3600,"Ms. Cathreene Ingham-Watters, (510) 818-3601, cwatters@newarkunified.org",Elementary Schools (Public),3,6,Yes,No,No,No
Birch Grove Primary,Alameda,Newark Unified,"6071 Smith Ave. Newark, CA 94560-4536",(510) 818-3100,"Mrs. Vicenta Ditto, (510) 818-3101, vditto@newarkunified.org",Elementary Schools (Public),K,6,Yes,No,No,No
Coyote Hills Elementary,Alameda,Newark Unified,"36270 Cherry St. Newark, CA 94560-2318",(510) 818-3300,"Jessica Tomassini, (510) 818-3300 Ext. 3301, jtommasini@newarkunified.org",Elementary Schools (Public),K,6,Yes,No,No,No
E. L. Musick Elementary,Alameda,Newark Unified,"5735 Musick Ave. Newark, CA 94560-2554",(510) 818-4000,"Amanda Golliher, (510) 818-4000, agolliher@newarkunified.org",Elementary Schools (Public),K,6,Yes,No,No,No
John F. Kennedy Elementary,Alameda,Newark Unified,"35430 Blackburn Dr. Newark, CA 94560-1312",(510) 818-3400,"Mr. Jaime Soria, jsoria@newarkuniifed.org",Elementary Schools (Public),K,6,Yes,No,No,No
Lincoln Elementary,Alameda,Newark Unified,"36111 Bettencourt St. Newark, CA 94560-2101",(510) 818-3500,"Lizaday Rancap-Perez, (510) 818-3501, lrancap-perez@newarkunified.org",Elementary Schools (Public),K,6,Yes,No,No,No
Newark Junior High,Alameda,Newark Unified,"6201 Lafayette Ave. Newark, CA 94560-2432",(510) 818-3000,"Mrs. Risha Krishna, (510) 818-3001, rkrishna@newarkunified.org",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Newark Memorial High,Alameda,Newark Unified,"39375 Cedar Blvd. Newark, CA 94560-5007",(510) 818-4300,"Olivia Rangel, (510) 818-4301, orangel@newarkunified.org",High Schools (Public),9,12,Yes,No,No,No
ACORN Woodland Elementary,Alameda,Oakland Unified,"1025 81st Ave. Oakland, CA 94621-2455",(510) 639-3344,"Julissa Lambert-Yank, (510) 639-3344, julissa.lambert-yank@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Allendale Elementary,Alameda,Oakland Unified,"3670 Penniman Ave. Oakland, CA 94619-1116",(510) 535-2812,"Desiree Miles, (510) 535-2812, desiree.miles@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Bella Vista Elementary,Alameda,Oakland Unified,"1025 East 28th St. Oakland, CA 94610-4018",(510) 436-4900,"Linda Flynn, (510) 436-4900, linda.flynn@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Bret Harte Middle,Alameda,Oakland Unified,"3700 Coolidge Ave. Oakland, CA 94602-3309",(510) 531-6400,"April Harris, (510) 531-6400, april.harris@ousd.org",Intermediate/Middle Schools (Public),6,9,Yes,No,No,No
Bridges Academy,Alameda,Oakland Unified,"1325 53rd Ave. Oakland, CA 94601-5728",(510) 535-3876,"Anita Iverson-Comelo, (510) 535-3876, anitia.iverson-comelo@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Brookfield Elementary,Alameda,Oakland Unified,"401 Jones Ave. Oakland, CA 94603-1123",(510) 639-3310,"Marie Roberts, (510) 639-3310, marie.roberts@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Burckhalter Elementary,Alameda,Oakland Unified,"3994 Burckhalter Ave. Oakland, CA 94605-2616",(510) 729-7700,"Carin Geathers, (510) 729-7700, carin.geathers@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Carl B. Munck Elementary,Alameda,Oakland Unified,"11900 Campus Dr. Oakland, CA 94619-3104",(510) 531-4900,"Denise Burroughs, (510) 531-4900, denise.burroughs@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Castlemont High,Alameda,Oakland Unified,"8601 MacArthur Blvd. Oakland, CA 94605-4037",(510) 639-1466 Ext. 470,"Michael Scott, (510) 639-1466, michael.scott@ousd.org",High Schools (Public),9,12,Yes,No,No,No
Chabot Elementary,Alameda,Oakland Unified,"6686 Chabot Rd. Oakland, CA 94618-1641",(510) 654-4884,"Jessica Cannon, (510) 654-4884, jessica.cannon@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Claremont Middle,Alameda,Oakland Unified,"5750 College Ave. Oakland, CA 94618-1629",(510) 654-7337,"Jonathan Mayer, (510) 654-7337, jonathan.mayer@ousd.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Cleveland Elementary,Alameda,Oakland Unified,"745 Cleveland St. Oakland, CA 94606-1513",(510) 874-3600,"Peter Van Tassel, (510) 874-3600, peter.vantassel@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Crocker Highlands Elementary,Alameda,Oakland Unified,"525 Midcrest Rd. Oakland, CA 94610-1813",(510) 451-5900,"Jocelyn Kelleher, (510) 451-5900, jocelyn.kelleher@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
East Oakland Pride Elementary,Alameda,Oakland Unified,"8000 Birch St. Oakland, CA 94621-2123",(510) 636-8217,"Michelle Grant, (510) 636-8217, michelle.grant@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Edna Brewer Middle,Alameda,Oakland Unified,"3748 13th Ave. Oakland, CA 94610-2820",(510) 531-6600,"Aubrey Lane, (510) 531-6600, aubrey.lane@ousd.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Elmhurst United Middle,Alameda,Oakland Unified,"1800 98th Ave. Oakland, CA 94603-2702",(510) 639-2888,"Kilian Betlach, (510) 639-2888, kilian.betlach@ousd.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Emerson Elementary,Alameda,Oakland Unified,"4803 Lawton Ave. Oakland, CA 94609-2208",(510) 654-7373,"Heather Palin, (510) 654-7373, heather.palin@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
EnCompass Academy Elementary,Alameda,Oakland Unified,"1025 81st Ave. Oakland, CA 94621-2455",(510) 639-3350,"Minh-Tram Nguyen, (510) 639-3350, tram.nguyen@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Esperanza Elementary,Alameda,Oakland Unified,"10315 E St. Oakland, CA 94603-3133",(510) 639-3367,"Cristina Segura, (510) 639-3367, cristina.segura@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Franklin Elementary,Alameda,Oakland Unified,"915 Foothill Blvd. Oakland, CA 94606-3013",(510) 874-3354,"Lusa Lai, (510) 874-3354, lusa.lai@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Fred T. Korematsu Discovery Academy,Alameda,Oakland Unified,"10315 E St. Oakland, CA 94603-3133",(510) 639-3377,"Amie LaMontagne, (510) 639-3377, amie.lamontagne@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Fremont High,Alameda,Oakland Unified,"4610 Foothill Blvd. Oakland, CA 94601-4618",(510) 434-5257,"Tom Skjervheim, Co-Director, tom.skjervheim@ousd.org",High Schools (Public),9,12,Yes,No,No,No
Frick United Academy of Language,Alameda,Oakland Unified,"2845 64th Ave. Oakland, CA 94605-2027",(510) 729-7736,"Amapola Obrera, (510) 729-7736, amapola.obrera@ousd.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Fruitvale Elementary,Alameda,Oakland Unified,"3200 Boston Ave. Oakland, CA 94602-2899",(510) 535-2840,"Eugene Stovall, (510) 535-2840, eugene.stovall-iv@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Garfield Elementary,Alameda,Oakland Unified,"1640 22nd Ave. Oakland, CA 94606-4710",(510) 535-2857,"Alicia Arenas, (510) 535-2857, alicia.arenas@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Glenview Elementary,Alameda,Oakland Unified,"4215 La Cresta Ave. Oakland, CA 94602-1739",(510) 531-6677,"Rachel Quinn, (510) 531-6677, rachel.quinn@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Global Family,Alameda,Oakland Unified,"2035 40th Ave. Oakland, CA 94601-4203",(510) 879-1280,"Juan Vaca, (510) 879-1280, juan.vaca@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Grass Valley Elementary,Alameda,Oakland Unified,"4720 Dunkirk Ave. Oakland, CA 94605-5607",(510) 636-4653,"Casey Beckner, (510) 636-4653, casey.beckner@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Greenleaf Elementary,Alameda,Oakland Unified,"6328 East 17th St. Oakland, CA 94621-3832",(510) 636-1400,"Annika Rudback, (510) 636-1400, annika.rudback@ousd.org",Elementary Schools (Public),K,8,Yes,No,No,No
Hillcrest Elementary,Alameda,Oakland Unified,"30 Marguerite Dr. Oakland, CA 94618-2230",(510) 879-1270,"Maria McCormick, (510) 879-1270, maria.mccormick@ousd.org",Elementary Schools (Public),K,8,Yes,No,No,No
Hoover Elementary,Alameda,Oakland Unified,"890 Brockhurst St. Oakland, CA 94608-4318",(510) 879-1700,"Lissette Averhoff, (510) 879-1700, lissette.averhoff@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Horace Mann Elementary,Alameda,Oakland Unified,"5222 Ygnacio Ave. Oakland, CA 94601-5422",(510) 879-1360,"Tammie Adams, (510) 879-1360, tammie.adams@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
International Community,Alameda,Oakland Unified,"2825 International Blvd. Oakland, CA 94601-1543",(510) 532-5400,"Eleanor Alderman, (510) 532-5400, eleanor.alderman@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Joaquin Miller Elementary,Alameda,Oakland Unified,"5525 Ascot Dr. Oakland, CA 94611-3001",(510) 531-6688,"Sara Green, (510) 531-6688, sara.green@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
La Escuelita Elementary,Alameda,Oakland Unified,"1100 Third Ave. Oakland, CA 94606-2227",(510) 874-7762,"Faris Jabbar, (510) 874-7762, faris.jabbar@ousd.org",Elementary Schools (Public),K,8,Yes,No,No,No
Laurel Elementary,Alameda,Oakland Unified,"3750 Brown Ave. Oakland, CA 94619-1406",(510) 531-6868,"John Stangl, (510) 531-6868, john.stangl@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Lincoln Elementary,Alameda,Oakland Unified,"225 11th St. Oakland, CA 94607-4409",(510) 874-3372,"Mukta Sambrani, (510) 874-3372, mukta.sambrani@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Lockwood STEAM Academy,Alameda,Oakland Unified,"6701 International Blvd. Oakland, CA 94621-3501",(510) 639-2850,"Nehseem Ratchford, (510) 639-2850, sarah.mehrizi@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Madison Park Academy TK-5,Alameda,Oakland Unified,"470 El Paseo Dr. Oakland, CA 94603-3565",(510) 636-7919,"Sabrina Moore, (510) 636-7919, sabrina.moore@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Manzanita Community,Alameda,Oakland Unified,"2409 East 27th St. Oakland, CA 94601-1303",(510) 535-2822,"Amy Jones, (510) 535-2822, amy.jones@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Manzanita SEED Elementary,Alameda,Oakland Unified,"2409 East 27th St. Oakland, CA 94601-1303",(510) 535-2832,"Diane Lang, (510) 535-2832, diane.lang@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Markham Elementary,Alameda,Oakland Unified,"7220 Krause Ave. Oakland, CA 94605-2380",(510) 639-3202,"Anita Summerlin, (510) 639-3202, anita.summerlin@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
"Martin Luther King, Jr. Elementary",Alameda,Oakland Unified,"960 Tenth St. Oakland, CA 94607-3106",(510) 874-3381,"Roma Groves-Waters, Executive, (510) 874-3381, roma.groves@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
McClymonds High,Alameda,Oakland Unified,"2607 Myrtle St. Oakland, CA 94607-3415",(510) 238-8607,"Jeffrey Taylor, (510) 238-8607, jeffrey.taylor@ousd.org",High Schools (Public),9,12,Yes,No,No,No
Melrose Leadership Academy,Alameda,Oakland Unified,"4730 Fleming Ave. Oakland, CA 94619-2515",(510) 535-3832,"Brianne Zika, (510) 535-3832, brianne.zika@ousd.org",Elementary Schools (Public),K,8,Yes,No,No,No
MetWest High,Alameda,Oakland Unified,"314 East Tenth St. Oakland, CA 94606-2302",(510) 451-5902,"Logan Manning, (510) 451-5902, logan.manning@ousd.org",High Schools (Public),9,12,Yes,No,No,No
Montclair Elementary,Alameda,Oakland Unified,"1757 Mountain Blvd. Oakland, CA 94611-2259",(510) 339-6100,"Maite Barloga, (510) 339-6100, maite.barloga@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Montera Middle,Alameda,Oakland Unified,"5555 Ascot Dr. Oakland, CA 94611-3001",(510) 531-6070,"Darren Avent, (510) 531-6070, darren.avent@ousd.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
New Highland Academy,Alameda,Oakland Unified,"8521 A St. Oakland, CA 94621-1619",(510) 729-7723,"Clara Roberts, (510) 729-7723, clara.roberts@ousd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Oakland Academy of Knowledge,Alameda,Oakland Unified,"8755 Fontaine St. Oakland, CA 94605-4197",(510) 639-3244,"Nikki Williams, (510) 639-3244, nikki.williams@ousd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Oakland High,Alameda,Oakland Unified,"1023 MacArthur Blvd. Oakland, CA 94610-3930",(510) 874-3676,"Matin Abdel-Qawi, (510) 874-3676, matin.abdel-qawi@ousd.org",High Schools (Public),9,12,Yes,No,No,No
